contract_id,contract_area,input_expectation,output_expectation,forbidden_behavior,manual_review_required
cont_news_metadata_contract,News metadata contract,Valid metadata fields complying with news_metadata_schema.,Structured metadata DataFrame or response.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_source_registry_contract,News source registry contract,Canonical source identifiers and category metadata.,Registered sources without credential requirements.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_item_reference_contract,News item reference contract,Canonical pointers and content hash placeholders.,Reference records without raw article text.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_tag_mapping_contract,News tag mapping contract,"Asset, macro, commodity, and FX tag labels.",Standardized canonical taxonomy tags.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_event_linkage_contract,News event linkage contract,News topics and calendar release linkages.,Bi-directional event association references.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_request_validation_contract,News request validation contract,Valid NewsProviderRequest instance with metadata_only=True.,Validated request or descriptive validation error.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_fetch_response_contract,News fetch response contract,Executed request parameters in dry-run or local mode.,Conforming NewsProviderResponse instance.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_error_handling_contract,News error handling contract,Failure or constraint violation.,Standardized NewsProviderError without crashing.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_manual_file_contract,News manual file contract,Offline user-supplied metadata files.,Parsed metadata records without file alteration.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_local_cache_contract,News local cache contract,Local lake cached news metadata.,Read-only access to cached files.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
cont_news_official_api_placeholder_contract,News official API placeholder contract,Public agency announcement requests.,Offline placeholder response without network call.,"['no scraping', 'no news page scraping', 'no browser automation', 'no hidden API reverse engineering', 'no paywall bypass', 'no credential output', 'no full article download', 'no copyrighted article copy', 'no broker/live/order', 'no investment advice', 'no news directional claim', 'no sentiment-as-signal', 'no external LLM', 'no vector DB', 'no embedding API', 'no deployment', 'no destructive file action']",True
