component_id,component_name,phase_ref,phase_number,primary_module,description,current_phase,target_final_phase,next_phase,status,contract_only,non_production,production_ready,broker_ready,signal_ready,non_signal
CMP-136,phase_136_gpu_ml_runtime_foundation,Phase 136,136,advanced_gpu_ml_runtime,"GPU acceleration and advanced ML runtime foundation, local hardware discovery, and ML experiment safety contracts.",145,160,146,acceptance_ready,True,True,False,False,False,True
CMP-137,phase_137_ml_dataset_contracts_experiment_registry,Phase 137,137,advanced_ml_dataset_registry,"Advanced ML dataset contracts, feature snapshot schemas, no-lookahead guards, and experiment registry.",145,160,146,acceptance_ready,True,True,False,False,False,True
CMP-138,phase_138_baseline_ml_model_contracts_dry_run_harness,Phase 138,138,advanced_baseline_ml_models,"Baseline ML model contracts, model family catalog, and dry-run training harness interfaces.",145,160,146,acceptance_ready,True,True,False,False,False,True
CMP-139,phase_139_gpu_training_harness_resource_governance,Phase 139,139,advanced_gpu_training_governance,"GPU-accelerated training harness interfaces, resource governance, memory budget policies, and timeout guards.",145,160,146,acceptance_ready,True,True,False,False,False,True
CMP-140,phase_140_ensemble_model_contracts_candidate_registry,Phase 140,140,advanced_ensemble_model_registry,"Ensemble model contracts, candidate model registry, strategy schemas, and eligibility gates.",145,160,146,acceptance_ready,True,True,False,False,False,True
CMP-141,phase_141_probability_calibration_uncertainty_contracts,Phase 141,141,advanced_calibration_uncertainty,"Probability calibration contracts, uncertainty estimation placeholders, and confidence interval bounds.",145,160,146,acceptance_ready,True,True,False,False,False,True
CMP-142,phase_142_model_drift_monitoring_feature_drift_linkage,Phase 142,142,advanced_model_drift_monitoring,"Model drift monitoring contracts, data/feature drift linkage, and reference window policies.",145,160,146,acceptance_ready,True,True,False,False,False,True
CMP-143,phase_143_explainability_feature_attribution_reports,Phase 143,143,advanced_explainability_attribution,"Explainability and feature attribution report contracts, global/local explanation schemas (SHAP/LIME placeholders).",145,160,146,acceptance_ready,True,True,False,False,False,True
CMP-144,phase_144_model_governance_model_cards_audit_trail,Phase 144,144,advanced_model_governance,"Model governance, model cards, audit trail placeholders, risk register, and approval boundaries.",145,160,146,acceptance_ready,True,True,False,False,False,True
CMP-145,phase_145_advanced_ml_acceptance_report,Phase 145,145,advanced_ml_acceptance,"Consolidated Advanced ML acceptance report, component checkpoints, readiness scoring, and Phase 146 handoff.",145,160,146,acceptance_ready,True,True,False,False,False,True
