scope_id,scope_item,is_allowed,category
SCP-158-001,full_system_integration_contract,True,permitted
SCP-158-002,system_wide_dependency_graph,True,permitted
SCP-158-003,system_wide_dry_run_rehearsal_plan,True,permitted
SCP-158-004,advanced_acceptance_rehearsal_checklist,True,permitted
SCP-158-005,component_completeness_verification,True,permitted
SCP-158-006,manifest_presence_verification,True,permitted
SCP-158-007,safety_boundary_verification,True,permitted
SCP-158-008,phase_159_handoff_preparation,True,permitted
SCP-158-009,live_order_execution,False,prohibited
SCP-158-010,broker_api_integration,False,prohibited
SCP-158-011,trading_signal_generation,False,prohibited
SCP-158-012,investment_advice_generation,False,prohibited
SCP-158-013,real_system_execution,False,prohibited
SCP-158-014,end_to_end_bot_run,False,prohibited
SCP-158-015,model_fit_train_predict,False,prohibited
SCP-158-016,backtest_and_optimizer_run,False,prohibited
SCP-158-017,portfolio_construction_and_risk_execution,False,prohibited
SCP-158-018,production_deployment_and_approval,False,prohibited
SCP-158-019,web_scraping_and_credential_output,False,prohibited
SCP-158-020,source_overwrite_and_destructive_cleaning,False,prohibited
