review_id,title,category,inspection_focus,status,safe_resolution,profile_name,current_phase,non_signal,local_only
MRQ_150_01,Review Backtest Governance Contracts,contract_governance,Verify all 7 backtest governance contracts are defined without active simulation permissions.,PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
MRQ_150_02,Review Lookahead and Survivorship Bias Controls,bias_control,Ensure timestamp ordering and point-in-time universe preservation rules are enforced.,PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
MRQ_150_03,Review Data Snooping and Overfitting Guards,bias_control,Verify strict hypothesis pre-registration and test set quarantine discipline.,PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
MRQ_150_04,Review Multiple Testing and Parameter Fishing Policies,statistical_rigor,Check family-wise error adjustments and parameter penalty documentation.,PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
MRQ_150_05,"Review Transaction Cost, Slippage, and Realism Settings",execution_realism,"Ensure commission tiers, bid-ask spreads, and liquidity thresholds are realistic.",PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
MRQ_150_06,"Review Split Discipline, Purge/Embargo, and Walk-Forward",time_series_integrity,Verify purge and embargo windows prevent autocorrelation leakage across folds.,PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
MRQ_150_07,Review Stress Testing and Monte Carlo Robustness Linkage,stress_monte_carlo,Confirm crisis catalogs and bootstrap protocols are linked as research contracts.,PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
MRQ_150_08,Review Metric and Performance Claim Boundaries,claim_boundary,"Confirm all return, Sharpe, alpha, and strategy approval claims remain blocked.",PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
MRQ_150_09,Review Disabled Execution and Safety Boundaries,safety_boundary,"Verify live trading, broker APIs, optimizers, and model fitting are strictly disabled.",PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
MRQ_150_10,Review Phase 151 Handoff Prerequisites,handoff_readiness,Confirm readiness for Phase 151 Benchmark Comparison and Strategy Evaluation.,PENDING_MANUAL_REVIEW,Inspect contract specifications and metadata definitions without executing live orders.,balanced_local_backtest_governance_contracts,150,True,True
