rule_type,condition,status,is_active,non_signal,phase
NO_GO,live_trading,STRICTLY_PROHIBITED,True,True,141
NO_GO,broker_integration,STRICTLY_PROHIBITED,True,True,141
NO_GO,real_order_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,investment_advice,STRICTLY_PROHIBITED,True,True,141
NO_GO,signal_generation,STRICTLY_PROHIBITED,True,True,141
NO_GO,directional_claims,STRICTLY_PROHIBITED,True,True,141
NO_GO,dataset_materialization,STRICTLY_PROHIBITED,True,True,141
NO_GO,feature_snapshot_materialization,STRICTLY_PROHIBITED,True,True,141
NO_GO,strategy_backtest_optimizer_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,real_model_training,STRICTLY_PROHIBITED,True,True,141
NO_GO,model_fit_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,model_predict_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,model_inference_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,model_transform_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,probability_prediction,STRICTLY_PROHIBITED,True,True,141
NO_GO,confidence_score_calculation,STRICTLY_PROHIBITED,True,True,141
NO_GO,calibration_fit_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,calibration_transform_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,calibration_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,uncertainty_estimation_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,prediction_interval_calculation,STRICTLY_PROHIBITED,True,True,141
NO_GO,conformal_prediction_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,supervised_unsupervised_clustering_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,ensemble_execution,STRICTLY_PROHIBITED,True,True,141
NO_GO,target_label_generation,STRICTLY_PROHIBITED,True,True,141
NO_GO,metric_calculation_performance_claim,STRICTLY_PROHIBITED,True,True,141
NO_GO,sentiment_model_output,STRICTLY_PROHIBITED,True,True,141
NO_GO,full_article_raw_html_scraping,STRICTLY_PROHIBITED,True,True,141
NO_GO,embedding_vector_generation,STRICTLY_PROHIBITED,True,True,141
NO_GO,artifact_persistence_model_registry_write,STRICTLY_PROHIBITED,True,True,141
NO_GO,official_approval_production_broker_ready_claims,STRICTLY_PROHIBITED,True,True,141
NO_GO,source_overwrite_destructive_cleaning,STRICTLY_PROHIBITED,True,True,141
NO_GO,auto_imputation_auto_feature_drop,STRICTLY_PROHIBITED,True,True,141
NO_GO,scraping_credential_output_deployment,STRICTLY_PROHIBITED,True,True,141
SAFE_GO,local_offline_calibration_contract_generation,PERMITTED_DRY_RUN,True,True,141
SAFE_GO,calibration_method_placeholders_without_execution,PERMITTED_DRY_RUN,True,True,141
SAFE_GO,uncertainty_method_placeholders_without_execution,PERMITTED_DRY_RUN,True,True,141
SAFE_GO,confidence_and_prediction_interval_placeholders_without_calculation,PERMITTED_DRY_RUN,True,True,141
SAFE_GO,quantile_and_conformal_placeholders_without_calculation,PERMITTED_DRY_RUN,True,True,141
SAFE_GO,calibration_and_uncertainty_metric_placeholders_without_evaluation,PERMITTED_DRY_RUN,True,True,141
SAFE_GO,disabled_execution_reports_certifying_zero_runtime,PERMITTED_DRY_RUN,True,True,141
SAFE_GO,calibration_and_uncertainty_quality_gates,PERMITTED_DRY_RUN,True,True,141
SAFE_GO,audit_trail_placeholders,PERMITTED_DRY_RUN,True,True,141
SAFE_GO,phase_142_model_drift_monitoring_handoff,PERMITTED_DRY_RUN,True,True,141
