indicator_id,indicator_name,indicator_family,required_fields,optional_fields,output_fields,default_parameters,formula_note,warmup_policy,no_lookahead_policy,non_signal_usage_note,status_label,manual_review_required
ti_family_price_action_high_low_range,high_low_range,family_price_action,"['high', 'low']",[],['high_low_range'],{},high - low,immediate,current bar only,Volatilite ve bar genişliği feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_price_action_close_open_range,close_open_range,family_price_action,"['close', 'open']",[],['close_open_range'],{},close - open,immediate,current bar only,Bar yönü ve büyüklüğü feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_price_action_range_pct,range_pct,family_price_action,"['high', 'low', 'close']",[],['range_pct'],{},(high - low) / close,immediate,current bar only,Normalleştirilmiş aralık feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_price_action_gap_from_prev_close,gap_from_prev_close,family_price_action,"['open', 'close']",[],['gap_from_prev_close'],{},open - close.shift(1),1 bar,shift(1) past only,Açılış boşluğu feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_price_action_close_location_value,close_location_value,family_price_action,"['high', 'low', 'close']",[],['close_location_value'],{},((close - low) - (high - close)) / (high - low),immediate,current bar only,"Kapanışın bar içi konumu [-1, 1]. Sinyal değildir.",indicator_ready,False
ti_family_returns_simple_return,simple_return,family_returns,['close'],[],['simple_return_{window}'],{'window': 1},close / close.shift(window) - 1.0,window bars,shift(window) past only,Geçmiş getiri feature'ı. Sinyal/target değildir.,indicator_ready,False
ti_family_returns_log_return,log_return,family_returns,['close'],[],['log_return_{window}'],{'window': 1},log(close / close.shift(window)),window bars,shift(window) past only,Logaritmik getiri feature'ı. Sinyal/target değildir.,indicator_ready,False
ti_family_returns_cumulative_return,cumulative_return,family_returns,['close'],[],['cumulative_return_{window}'],{'window': 20},(close / close.shift(window)) - 1.0,window bars,shift(window) past only,Kümülatif getiri feature'ı. Sinyal/target değildir.,indicator_ready,False
ti_family_returns_rolling_return_sum,rolling_return_sum,family_returns,['close'],[],['rolling_return_sum_{window}'],{'window': 20},simple_return(1).rolling(window).sum(),window bars,rolling past only,Getiri toplamı feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_returns_return_volatility_ratio,return_volatility_ratio,family_returns,['close'],[],['return_vol_ratio_{window}'],{'window': 20},rolling_mean_return / rolling_std_return,window bars,rolling past only,Getiri/oynaklık oranı feature'ı. Sharpe/trade tavsiyesi değildir.,indicator_ready,False
ti_family_moving_average_sma,sma,family_moving_average,['close'],[],['sma_{window}'],{'window': 20},rolling(window).mean(),window - 1 bars,rolling past only,Basit hareketli ortalama feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_moving_average_ema,ema,family_moving_average,['close'],[],['ema_{window}'],{'window': 20},"ewm(span=window, adjust=False).mean()",window bars,ewm past only,Üstel hareketli ortalama feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_moving_average_wma,wma,family_moving_average,['close'],[],['wma_{window}'],{'window': 20},weighted rolling sum with linearly increasing weights,window - 1 bars,rolling past only,Ağırlıklı hareketli ortalama feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_moving_average_dema,dema,family_moving_average,['close'],[],['dema_{window}'],{'window': 20},2 * EMA(window) - EMA(EMA(window)),2 * window bars,ewm past only,Double exponential moving average feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_moving_average_tema,tema,family_moving_average,['close'],[],['tema_{window}'],{'window': 20},3 * EMA - 3 * EMA(EMA) + EMA(EMA(EMA)),3 * window bars,ewm past only,Triple exponential moving average feature'ı. Sinyal değildir.,indicator_ready,False
ti_family_moving_average_ma_distance,ma_distance,family_moving_average,['close'],[],['ma_distance_{window}'],"{'window': 20, 'ma_type': 'sma'}",(close - MA) / MA,window bars,past only,Fiyatın MA'dan oransal sapması. Sinyal değildir.,indicator_ready,False
ti_family_trend_macd,macd,family_trend,['close'],[],"['{prefix}_line', '{prefix}_smooth', '{prefix}_hist']","{'fast': 12, 'slow': 26, 'signal_window': 9, 'prefix': 'macd'}",EMA(12) - EMA(26); smooth line is EMA(9) of macd_line,slow + signal_window bars,ewm past only,MACD gösterge feature'ları. Smooth line adı 'smooth' olarak tutulur; crossover sinyali üretilmez.,indicator_ready,False
ti_family_trend_ppo,ppo,family_trend,['close'],[],"['{prefix}_line', '{prefix}_smooth', '{prefix}_hist']","{'fast': 12, 'slow': 26, 'signal_window': 9, 'prefix': 'ppo'}",((EMA(12) - EMA(26)) / EMA(26)) * 100,slow + signal_window bars,ewm past only,Yüzdesel fiyat osilatörü. Sinyal değildir.,indicator_ready,False
ti_family_trend_donchian_channel,donchian_channel,family_trend,"['high', 'low']",[],"['{prefix}_upper_{window}', '{prefix}_lower_{window}', '{prefix}_mid_{window}']","{'window': 20, 'prefix': 'donchian'}","rolling max(high), rolling min(low), mean of both",window - 1 bars,rolling past only,Donchian kanalı bant feature'ları. Kırılım sinyali üretilmez.,indicator_ready,False
ti_family_trend_aroon,aroon,family_trend,"['high', 'low']",[],"['{prefix}_up_{window}', '{prefix}_down_{window}', '{prefix}_osc_{window}']","{'window': 25, 'prefix': 'aroon'}",Aroon Up / Down / Oscillator (en son tepe/dip zamanı),window bars,rolling past only,Aroon trend göstergesi. Al/sat kuralı üretilmez.,indicator_ready,False
ti_family_trend_adx_dmi_placeholder,adx_dmi_placeholder,family_trend,"['high', 'low', 'close']",[],"['{prefix}_plus_di_{window}', '{prefix}_minus_di_{window}', '{prefix}_adx_{window}']","{'window': 14, 'prefix': 'adx'}",Directional Movement System + ADX trend strength feature,2 * window bars,rolling past only,"ADX/DMI feature seti. Trend gücü ölçümüdür, işlem tavsiyesi üretilmez.",indicator_ready,False
